customer_id,recency,frequency,total_spent,clv_predicted,churn_probability,overall_score
11,23,3,379.46,682.2836796825395,0.04909756418923296,50.0
13,43,1,574.4,1158.8663032539685,0.08067898969284817,49.0
18,83,2,3100.53,6194.700173809522,0.9561795588957035,43.0
20,33,3,664.6,1324.6185906277053,0.01720225355110382,50.0
24,53,1,1096.07,2235.030462229438,0.09997020413620966,54.0
27,4,2,944.79,1889.846212936509,0.0468497544700567,53.0
29,13,2,702.97,1404.767528015873,0.04083138378500946,53.0
32,56,2,1621.35,3249.38275936508,0.07688932154140592,57.0
34,6,2,720.18,1438.9995985714286,0.027438814936882563,48.0
35,50,1,984.62,2008.110166514041,0.08726492896145728,48.0
36,14,3,1177.7,2353.418060079366,0.013885994840642424,59.0
39,143,3,2268.21,4544.775354963926,0.9579756340337056,42.0
41,47,3,907.05,1799.4971328571423,0.024762390982571204,52.0
43,42,2,1363.39,2719.3433915873015,0.02389318664266964,56.0
48,10,1,530.94,1087.479082763348,0.1478402821548041,47.0
54,110,4,2480.85,3722.3159050000013,0.957576508534833,40.0
56,10,2,1303.02,2596.3503644227994,0.022481720233490307,55.0
57,197,4,2709.85,4074.417239004328,0.990788844183334,40.0
60,92,2,2007.22,4036.586993095239,0.8788291942581712,43.0
61,3,3,586.02,1141.9450811904767,0.00951714238162603,51.0
71,78,4,4087.49,6097.916549444442,0.9103730990336261,51.0
72,3,3,638.98,1280.680883643578,0.0274455379001415,48.0
74,14,3,707.49,1412.1453234126986,0.0071458509246660725,51.0
80,87,3,2973.72,5970.423054365078,0.9459303178521786,50.0
82,109,6,3332.3,3333.3054074458896,0.9459399222042371,44.0
84,32,4,1627.12,2436.014818888888,0.01250702460512353,56.0
86,50,2,857.83,1722.9424265079367,0.040077094069038,54.0
90,46,1,644.3,1348.7732084920635,0.04901045027439303,46.0
95,3,1,1705.29,3397.4309443073594,0.1362433346065699,54.0
98,1,3,734.91,1470.9902133333349,0.0071458509246660725,51.0
102,48,2,250.18,521.1326513636365,0.06409359421734796,43.0
103,3,2,834.3,1668.1941723015866,0.03656558924975496,51.0
104,44,2,639.34,1282.4801280952377,0.01948893760900883,46.0
107,16,3,1353.65,2707.528059761906,0.023844664370582743,58.0
109,15,2,1201.71,2400.9191926984126,0.015689538948164793,55.0
112,170,6,3500.47,3494.9159626190462,0.9465546218487395,42.0
113,30,2,1846.95,3677.519264920635,0.05827314976415107,56.0
118,289,3,3269.43,6503.408253015874,0.9953238450170276,44.0
123,8,2,351.24,727.5393891847043,0.03881821200314721,48.0
124,135,3,3249.87,6482.0445260317465,0.9769422260189592,46.0
128,347,4,2712.29,4073.8606556709947,0.987145577065504,40.0
134,32,2,712.4,1425.7733981746032,0.022841274951802583,49.0
138,28,4,921.72,1397.890776269841,0.045771815344065325,50.0
141,184,2,2714.1,5390.449491904762,0.9859807081538317,43.0
143,153,6,3431.86,3434.3349998412677,0.9532931378278957,43.0
146,2,2,642.11,1289.643576904762,0.010171232435423084,48.0
147,9,4,1388.83,2082.271921385281,0.011596636212243827,54.0
148,12,2,404.31,805.5804290836943,0.02889327120832987,46.0
149,22,3,1039.17,2079.45894027417,0.00918282603573472,53.0
152,4,4,1539.28,2306.0414212698415,0.029283884109255764,58.0
154,11,2,572.59,1148.7657415079366,0.05303918698335262,52.0
155,26,2,187.19,381.4344032395383,0.028872676904732532,40.0
156,162,3,3390.49,6695.740056349206,0.9731650117247372,51.0
158,38,2,612.11,1221.1779088095238,0.02622710780555337,49.0
159,93,6,3047.35,3048.250002936508,0.9713719555618857,40.0
162,380,2,3075.28,6175.566667619046,0.9982627118644067,45.0
168,31,3,1216.91,2433.7869622222215,0.012313605063643325,58.0
170,60,3,841.59,1681.5137705555558,0.0396562643213012,55.0
171,8,2,840.62,1674.0000607142856,0.029373135908201963,53.0
172,20,2,1292.46,2588.649947756133,0.01532391658950757,57.0
173,2,2,832.01,1670.2312043650788,0.012923493923099848,52.0
